order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,rated_or_not,total_time_taken,more_or_less_60
1477425,378482,Chipotle Mexican Grill $1.99 Delivery,Mexican,19.35,Weekend,4,21,18,Rated,39,Less than 60 mins
1478143,337525,TAO,Japanese,33.22,Weekend,Not given,23,19,Not rated,42,Less than 60 mins
1477267,133637,RedFarm Broadway,Chinese,24.25,Weekend,5,22,15,Rated,37,Less than 60 mins
1477728,107909,Cafeteria,American,16.44,Weekend,Not given,33,22,Not rated,55,Less than 60 mins
1476908,365237,Five Guys Burgers and Fries,American,22.75,Weekend,5,30,20,Rated,50,Less than 60 mins
1476581,322162,The Meatball Shop,Italian,6.74,Weekend,5,29,23,Rated,52,Less than 60 mins
1476930,198802,DuMont Burger,American,29.05,Weekend,5,22,30,Rated,52,Less than 60 mins
1477621,122864,Sarabeth's East,American,13.78,Weekend,4,34,24,Rated,58,Less than 60 mins
1478354,52037,Blue Ribbon Fried Chicken,American,19.89,Weekday,Not given,27,24,Not rated,51,Less than 60 mins
1477251,81110,Hill Country Fried Chicken,Southern,16.93,Weekend,5,33,21,Rated,54,Less than 60 mins
1477656,300003,Bistango,Italian,21.88,Weekend,Not given,21,19,Not rated,40,Less than 60 mins
1477883,91817,Blue Ribbon Fried Chicken,American,29.39,Weekend,Not given,27,28,Not rated,55,Less than 60 mins
1477205,112036,TAO,Japanese,20.23,Weekend,5,22,20,Rated,42,Less than 60 mins
1478107,73895,RedFarm Broadway,Chinese,29.1,Weekend,Not given,22,23,Not rated,45,Less than 60 mins
1477760,130507,Jack's Wife Freda,Mediterranean,22.75,Weekend,3,35,29,Rated,64,More than 60 mins
1476562,129486,Mamoun's Falafel,Mediterranean,14.12,Weekend,3,31,15,Rated,46,Less than 60 mins
1477692,313340,Sushi of Gari 46,Japanese,14.6,Weekday,3,24,24,Rated,48,Less than 60 mins
1477889,177250,RedFarm Hudson,Chinese,12.23,Weekday,5,25,33,Rated,58,Less than 60 mins
1477243,176234,Prosperity Dumpling,Chinese,14.02,Weekend,5,20,30,Rated,50,Less than 60 mins
1477560,371677,Blue Ribbon Fried Chicken,American,6.79,Weekday,Not given,33,28,Not rated,61,More than 60 mins
1476896,388918,Blue Ribbon Fried Chicken,American,24.25,Weekend,Not given,28,21,Not rated,49,Less than 60 mins
1478327,68551,Blue Ribbon Sushi Bar & Grill,Japanese,33.03,Weekend,Not given,33,20,Not rated,53,Less than 60 mins
1476820,152786,Cafe Habana,Mexican,31.38,Weekend,4,23,27,Rated,50,Less than 60 mins
1478121,62980,Westville Hudson,American,8.34,Weekday,Not given,22,26,Not rated,48,Less than 60 mins
1478077,82041,Shake Shack,American,33.03,Weekday,Not given,22,32,Not rated,54,Less than 60 mins
1478359,361616,Blue Ribbon Brooklyn,American,24.2,Weekday,3,22,32,Rated,54,Less than 60 mins
1476841,398426,RedFarm Broadway,Chinese,12.46,Weekend,4,24,20,Rated,44,Less than 60 mins
1477125,130820,Nobu Next Door,Japanese,15.86,Weekend,5,29,23,Rated,52,Less than 60 mins
1477915,200074,Osteria Morini,Italian,14.55,Weekend,Not given,34,22,Not rated,56,Less than 60 mins
1477475,65009,Blue Ribbon Fried Chicken,American,32.93,Weekend,5,24,23,Rated,47,Less than 60 mins
1477932,170221,Shake Shack,American,16.98,Weekend,Not given,22,21,Not rated,43,Less than 60 mins
1476651,58092,Shake Shack,American,8.0,Weekend,5,27,23,Rated,50,Less than 60 mins
1477730,50616,Parm,Italian,13.05,Weekend,Not given,28,27,Not rated,55,Less than 60 mins
1477518,133202,Sushi Samba,Japanese,29.05,Weekend,5,31,16,Rated,47,Less than 60 mins
1477821,277898,Haandi,Indian,5.67,Weekday,4,23,31,Rated,54,Less than 60 mins
1477104,77341,The Meatball Shop,Italian,16.93,Weekend,Not given,30,25,Not rated,55,Less than 60 mins
1477921,97079,Benihana,Japanese,29.29,Weekend,5,20,18,Rated,38,Less than 60 mins
1477938,150002,The Kati Roll Company,Indian,16.15,Weekend,5,20,29,Rated,49,Less than 60 mins
1476943,87472,RedFarm Hudson,Chinese,22.75,Weekend,Not given,31,30,Not rated,61,More than 60 mins
1477581,231061,Han Dynasty,Chinese,13.34,Weekend,4,34,27,Rated,61,More than 60 mins
1477975,56722,Shake Shack,American,9.75,Weekend,5,33,25,Rated,58,Less than 60 mins
1477601,107909,Cafeteria,American,6.69,Weekday,4,21,32,Rated,53,Less than 60 mins
1477790,133617,Shake Shack,American,4.75,Weekday,4,35,28,Rated,63,More than 60 mins
1477385,67538,Chipotle Mexican Grill $1.99 Delivery,Mexican,12.56,Weekend,5,22,18,Rated,40,Less than 60 mins
1478423,129969,The Meatball Shop,Italian,21.2,Weekend,Not given,34,16,Not rated,50,Less than 60 mins
1477051,57174,Tortaria,Mexican,19.31,Weekend,Not given,27,28,Not rated,55,Less than 60 mins
1476796,78939,Nobu Next Door,Japanese,16.3,Weekday,3,20,24,Rated,44,Less than 60 mins
1478031,309513,Otto Enoteca Pizzeria,Italian,13.05,Weekday,5,33,27,Rated,60,Less than 60 mins
1477740,129798,TAO,Japanese,25.27,Weekday,4,24,24,Rated,48,Less than 60 mins
1478384,184085,Hill Country Fried Chicken,Southern,14.79,Weekend,5,35,15,Rated,50,Less than 60 mins
1478183,329710,Shake Shack,American,5.72,Weekday,3,31,24,Rated,55,Less than 60 mins
1477569,65009,Chote Nawab,Indian,16.15,Weekend,5,24,30,Rated,54,Less than 60 mins
1478211,154030,RedFarm Hudson,Chinese,33.03,Weekend,4,26,22,Rated,48,Less than 60 mins
1476635,86731,Mission Cantina,Mexican,16.2,Weekend,5,31,18,Rated,49,Less than 60 mins
1477646,306119,Xi'an Famous Foods,Chinese,9.22,Weekday,Not given,31,32,Not rated,63,More than 60 mins
1477027,164016,Blue Ribbon Fried Chicken,American,16.39,Weekend,Not given,27,22,Not rated,49,Less than 60 mins
1476921,121476,Blue Ribbon Fried Chicken,American,12.18,Weekday,3,29,27,Rated,56,Less than 60 mins
1476689,305522,Shake Shack,American,24.2,Weekday,4,29,29,Rated,58,Less than 60 mins
1477767,68976,Sarabeth's East,American,17.03,Weekend,3,26,30,Rated,56,Less than 60 mins
1476582,60703,Cafe Habana,Mexican,6.79,Weekday,Not given,33,25,Not rated,58,Less than 60 mins
1478169,80460,Rubirosa,Italian,21.83,Weekend,3,30,27,Rated,57,Less than 60 mins
1477702,128600,Blue Ribbon Fried Chicken,American,31.29,Weekday,Not given,22,33,Not rated,55,Less than 60 mins
1477240,142356,Blue Ribbon Sushi,Japanese,11.83,Weekend,4,26,21,Rated,47,Less than 60 mins
1476564,83287,Five Guys Burgers and Fries,American,24.3,Weekend,5,30,20,Rated,50,Less than 60 mins
1478408,134152,The Meatball Shop,Italian,22.26,Weekend,Not given,28,25,Not rated,53,Less than 60 mins
1477824,345899,TAO,Japanese,20.47,Weekend,4,26,30,Rated,56,Less than 60 mins
1477617,38050,Blue Ribbon Sushi,Japanese,12.18,Weekend,5,28,25,Rated,53,Less than 60 mins
1477978,259341,Joe's Shanghai ÂŽ_Ã€ÂŽÃ¼Â£Â¾Ã·Â´,Chinese,15.81,Weekend,5,20,26,Rated,46,Less than 60 mins
1477281,309513,Otto Enoteca Pizzeria,Italian,22.36,Weekend,5,26,27,Rated,53,Less than 60 mins
1478223,234089,Blue Ribbon Sushi,Japanese,8.68,Weekend,5,34,27,Rated,61,More than 60 mins
1477364,125123,Shake Shack,American,21.83,Weekend,Not given,23,22,Not rated,45,Less than 60 mins
1476715,365244,Bareburger,American,16.3,Weekday,Not given,20,28,Not rated,48,Less than 60 mins
1476654,63020,The Odeon,American,12.9,Weekday,3,31,28,Rated,59,Less than 60 mins
1477296,222879,Parm,Italian,29.15,Weekday,5,23,27,Rated,50,Less than 60 mins
1478321,275535,Pongsri Thai,Thai,13.05,Weekday,4,31,24,Rated,55,Less than 60 mins
1477942,49793,Yama Japanese Restaurant,Japanese,22.36,Weekend,5,30,16,Rated,46,Less than 60 mins
1477552,137565,Shake Shack,American,31.29,Weekday,Not given,26,32,Not rated,58,Less than 60 mins
1476770,65009,Blue Ribbon Fried Chicken,American,7.86,Weekday,4,22,33,Rated,55,Less than 60 mins
1476558,214394,Yama Japanese Restaurant,Japanese,16.1,Weekend,Not given,33,27,Not rated,60,Less than 60 mins
1477993,91907,Momoya,Japanese,16.98,Weekday,5,31,32,Rated,63,More than 60 mins
1478072,82041,Osteria Morini,Italian,12.95,Weekend,5,26,28,Rated,54,Less than 60 mins
1476935,59419,Blue Ribbon Fried Chicken,American,11.69,Weekend,5,21,24,Rated,45,Less than 60 mins
1477255,50199,Five Guys Burgers and Fries,American,12.13,Weekend,Not given,26,15,Not rated,41,Less than 60 mins
1477012,325210,The Meatball Shop,American,12.32,Weekend,Not given,31,19,Not rated,50,Less than 60 mins
1477704,100999,Balthazar Boulangerie,French,12.13,Weekend,Not given,22,27,Not rated,49,Less than 60 mins
1477188,146588,Sushi of Gari,Japanese,12.18,Weekday,5,25,24,Rated,49,Less than 60 mins
1478348,310051,Parm,Italian,14.99,Weekend,Not given,34,24,Not rated,58,Less than 60 mins
1477405,128243,The Meatball Shop,Italian,6.74,Weekend,5,26,30,Rated,56,Less than 60 mins
1476826,53543,CafÃŒÂ© China,Chinese,24.3,Weekend,Not given,20,23,Not rated,43,Less than 60 mins
1478340,230535,Shake Shack,American,10.38,Weekend,3,24,29,Rated,53,Less than 60 mins
1477044,127122,RedFarm Broadway,Chinese,6.79,Weekend,5,33,28,Rated,61,More than 60 mins
1476978,177250,RedFarm Hudson,Chinese,25.27,Weekend,Not given,34,28,Not rated,62,More than 60 mins
1477287,111125,Otto Enoteca Pizzeria,Italian,14.99,Weekend,Not given,29,21,Not rated,50,Less than 60 mins
1477110,144997,RedFarm Hudson,Chinese,29.05,Weekend,4,22,28,Rated,50,Less than 60 mins
1476555,97991,Blue Ribbon Sushi Bar & Grill,Japanese,9.65,Weekend,Not given,25,26,Not rated,51,Less than 60 mins
1476862,58533,The Meatball Shop,Italian,29.2,Weekend,Not given,31,24,Not rated,55,Less than 60 mins
1477117,104336,Nobu Next Door,Japanese,5.77,Weekday,4,29,24,Rated,53,Less than 60 mins
1478402,232582,CafÃŒÂ© China,Chinese,32.93,Weekday,3,26,28,Rated,54,Less than 60 mins
1477431,195927,Boqueria,Spanish,12.13,Weekend,5,30,20,Rated,50,Less than 60 mins
1477836,373689,Bareburger,American,12.08,Weekend,Not given,29,20,Not rated,49,Less than 60 mins
1477376,370372,Blue Ribbon Fried Chicken,American,11.59,Weekday,Not given,25,24,Not rated,49,Less than 60 mins
1476835,264707,TAO,Japanese,9.56,Weekend,5,21,17,Rated,38,Less than 60 mins
1477177,42385,Song Thai Restaurant & Bar,Thai,24.2,Weekend,5,21,26,Rated,47,Less than 60 mins
1478174,104555,Sushi of Gari,Japanese,29.34,Weekday,Not given,32,25,Not rated,57,Less than 60 mins
1478269,250494,The Meatball Shop,Italian,11.16,Weekday,5,22,28,Rated,50,Less than 60 mins
1477369,139085,Shake Shack,American,24.25,Weekday,Not given,32,24,Not rated,56,Less than 60 mins
1476969,198309,Blue Ribbon Sushi,Japanese,29.2,Weekend,Not given,22,25,Not rated,47,Less than 60 mins
1477420,399478,Shake Shack,American,14.07,Weekend,Not given,25,28,Not rated,53,Less than 60 mins
1476663,40010,Parm,Italian,19.35,Weekend,4,35,19,Rated,54,Less than 60 mins
1477904,48131,RedFarm Hudson,Chinese,16.1,Weekend,4,23,29,Rated,52,Less than 60 mins
1478219,41692,Shake Shack,American,22.8,Weekend,Not given,30,19,Not rated,49,Less than 60 mins
1477206,61305,Blue Ribbon Sushi Bar & Grill,Japanese,15.23,Weekend,Not given,30,19,Not rated,49,Less than 60 mins
1477337,123780,Five Guys Burgers and Fries,American,33.03,Weekend,Not given,29,25,Not rated,54,Less than 60 mins
1476809,385248,Shake Shack,American,12.95,Weekend,Not given,27,18,Not rated,45,Less than 60 mins
1477750,97806,Shake Shack,American,16.49,Weekend,5,32,22,Rated,54,Less than 60 mins
1476817,97079,Benihana,Japanese,29.05,Weekend,Not given,25,26,Not rated,51,Less than 60 mins
1476659,52463,RedFarm Broadway,Chinese,31.33,Weekend,3,33,23,Rated,56,Less than 60 mins
1477609,105068,TAO,Japanese,16.01,Weekend,Not given,26,16,Not rated,42,Less than 60 mins
1477616,128600,Tamarind TriBeCa,Indian,14.07,Weekend,4,26,21,Rated,47,Less than 60 mins
1476769,71791,Sushi of Gari 46,Japanese,8.83,Weekday,Not given,31,33,Not rated,64,More than 60 mins
1477185,362068,The Kati Roll Company,Indian,33.03,Weekend,Not given,35,21,Not rated,56,Less than 60 mins
1477752,298824,Shake Shack,American,16.25,Weekday,3,30,24,Rated,54,Less than 60 mins
1477239,94524,The Meatball Shop,Italian,22.36,Weekend,4,28,18,Rated,46,Less than 60 mins
1476590,342107,The Kati Roll Company,Indian,16.83,Weekend,4,26,20,Rated,46,Less than 60 mins
1478305,62359,Rubirosa,Italian,8.0,Weekday,4,27,29,Rated,56,Less than 60 mins
1476751,347181,Blue Ribbon Sushi,Japanese,16.01,Weekend,Not given,29,22,Not rated,51,Less than 60 mins
1477831,60052,RedFarm Broadway,Chinese,16.01,Weekday,4,23,27,Rated,50,Less than 60 mins
1477955,198936,Five Leaves,American,10.24,Weekday,Not given,22,25,Not rated,47,Less than 60 mins
1476568,348787,Otto Enoteca Pizzeria,Italian,19.4,Weekday,4,32,28,Rated,60,Less than 60 mins
1478391,184325,Pinto Nouveau Thai Bistro,Thai,19.35,Weekend,4,34,24,Rated,58,Less than 60 mins
1476725,42935,Barbounia,Mediterranean,13.97,Weekend,5,29,25,Rated,54,Less than 60 mins
1476688,200672,Cafe Mogador,Middle Eastern,13.0,Weekend,Not given,21,15,Not rated,36,Less than 60 mins
1477102,75484,Five Guys Burgers and Fries,American,13.05,Weekend,Not given,34,27,Not rated,61,More than 60 mins
1476878,378027,RedFarm Broadway,Chinese,8.49,Weekend,Not given,24,16,Not rated,40,Less than 60 mins
1476805,93133,Parm,Italian,22.8,Weekday,5,33,33,Rated,66,More than 60 mins
1478093,268958,Barbounia,Mediterranean,20.18,Weekend,5,29,19,Rated,48,Less than 60 mins
1478201,370017,RedFarm Broadway,Chinese,19.59,Weekend,5,24,19,Rated,43,Less than 60 mins
1478032,146586,Dirty Bird to Go,American,19.4,Weekend,4,25,19,Rated,44,Less than 60 mins
1476606,350085,The Meatball Shop,Italian,17.03,Weekday,Not given,22,29,Not rated,51,Less than 60 mins
1477570,292343,Amy Ruth's,Southern,16.11,Weekend,4,30,26,Rated,56,Less than 60 mins
1476808,84700,Pepe Giallo,Italian,14.6,Weekday,3,32,24,Rated,56,Less than 60 mins
1476610,53212,TAO,Japanese,12.27,Weekday,Not given,26,29,Not rated,55,Less than 60 mins
1476875,373353,indikitch,Indian,22.26,Weekend,Not given,35,16,Not rated,51,Less than 60 mins
1476829,79255,The Meatball Shop,Italian,6.79,Weekend,Not given,26,15,Not rated,41,Less than 60 mins
1477366,275689,Han Dynasty,Chinese,14.12,Weekend,4,35,19,Rated,54,Less than 60 mins
1477774,354719,The Meatball Shop,Italian,29.15,Weekend,5,34,20,Rated,54,Less than 60 mins
1477209,17495,Prosperity Dumpling,Chinese,12.18,Weekday,Not given,26,24,Not rated,50,Less than 60 mins
1478334,352247,Chipotle Mexican Grill $1.99 Delivery,Mexican,25.22,Weekend,4,27,22,Rated,49,Less than 60 mins
1477872,300670,Shake Shack,American,13.39,Weekend,Not given,30,22,Not rated,52,Less than 60 mins
1478417,87747,Blue Ribbon Fried Chicken,American,9.02,Weekend,5,31,15,Rated,46,Less than 60 mins
1477401,326426,Sushi of Gari,Japanese,29.15,Weekend,Not given,34,24,Not rated,58,Less than 60 mins
1477764,131645,Yama 49,Japanese,13.0,Weekday,5,24,32,Rated,56,Less than 60 mins
1477835,129518,Blue Ribbon Fried Chicken,American,15.33,Weekday,4,24,29,Rated,53,Less than 60 mins
1476997,103005,Yama Japanese Restaurant,Japanese,14.55,Weekend,5,20,28,Rated,48,Less than 60 mins
1477519,140477,Momoya,Japanese,31.43,Weekend,Not given,24,17,Not rated,41,Less than 60 mins
1477004,250494,Five Guys Burgers and Fries,American,33.03,Weekend,5,29,15,Rated,44,Less than 60 mins
1477536,105164,Piccolo Angolo,Italian,15.91,Weekend,4,26,26,Rated,52,Less than 60 mins
1478313,160957,Momoya,Japanese,12.18,Weekend,4,27,25,Rated,52,Less than 60 mins
1477290,361509,Shake Shack,American,19.35,Weekday,Not given,35,33,Not rated,68,More than 60 mins
1476648,169478,RedFarm Broadway,Chinese,19.35,Weekend,Not given,24,28,Not rated,52,Less than 60 mins
1476657,91192,Hill Country Fried Chicken,Southern,29.35,Weekend,4,26,24,Rated,50,Less than 60 mins
1478089,134294,Shake Shack,American,15.28,Weekday,4,30,29,Rated,59,Less than 60 mins
1478026,365225,Pepe Rosso To Go,Italian,12.23,Weekday,3,24,24,Rated,48,Less than 60 mins
1477768,279895,Shake Shack,American,9.6,Weekday,4,35,28,Rated,63,More than 60 mins
1477424,81110,Han Dynasty,Chinese,12.95,Weekend,Not given,20,25,Not rated,45,Less than 60 mins
1478378,384391,Shake Shack,American,8.88,Weekend,5,27,23,Rated,50,Less than 60 mins
1477493,328357,Shake Shack,American,15.96,Weekend,3,30,21,Rated,51,Less than 60 mins
1478092,41318,Jack's Wife Freda,Mediterranean,15.47,Weekend,5,33,16,Rated,49,Less than 60 mins
1477150,92832,Five Guys Burgers and Fries,American,12.23,Weekend,5,22,22,Rated,44,Less than 60 mins
1478157,58871,Shake Shack,American,8.05,Weekday,4,25,27,Rated,52,Less than 60 mins
1478343,231042,Momoya,Japanese,8.54,Weekday,4,28,29,Rated,57,Less than 60 mins
1476860,336162,Nobu Next Door,Japanese,29.15,Weekday,5,28,25,Rated,53,Less than 60 mins
1477675,76907,Han Dynasty,Chinese,7.23,Weekend,5,21,18,Rated,39,Less than 60 mins
1476799,389740,L'Express,French,19.69,Weekend,3,26,17,Rated,43,Less than 60 mins
1476598,41168,Parm,Italian,12.13,Weekend,3,34,22,Rated,56,Less than 60 mins
1477277,59749,Bareburger,American,16.49,Weekday,Not given,31,27,Not rated,58,Less than 60 mins
1476682,86731,Mission Cantina,Mexican,12.08,Weekend,Not given,30,18,Not rated,48,Less than 60 mins
1477047,42832,5 Napkin Burger,American,9.27,Weekend,Not given,34,30,Not rated,64,More than 60 mins
1478173,91005,Han Dynasty,Chinese,24.25,Weekend,5,33,26,Rated,59,Less than 60 mins
1477528,128963,Han Dynasty,Chinese,5.67,Weekday,4,21,31,Rated,52,Less than 60 mins
1478426,124085,Blue Ribbon Sushi Bar & Grill,Japanese,14.12,Weekend,3,21,24,Rated,45,Less than 60 mins
1476696,231061,Han Dynasty,Chinese,33.03,Weekday,Not given,33,31,Not rated,64,More than 60 mins
1478189,105138,Han Dynasty,Chinese,8.97,Weekend,4,33,19,Rated,52,Less than 60 mins
1477532,95164,Amma,Indian,8.88,Weekday,4,27,24,Rated,51,Less than 60 mins
1477324,263426,Blue Ribbon Sushi Izakaya,Japanese,12.13,Weekday,5,30,29,Rated,59,Less than 60 mins
1476698,142461,Delicatessen,American,11.64,Weekend,Not given,27,27,Not rated,54,Less than 60 mins
1478290,263199,Sushi of Gari 46,Japanese,31.43,Weekend,4,35,23,Rated,58,Less than 60 mins
1476919,387227,Blue Ribbon Sushi Bar & Grill,Japanese,13.15,Weekend,5,30,30,Rated,60,Less than 60 mins
1477247,385559,Blue Ribbon Fried Chicken,American,14.02,Weekend,5,20,28,Rated,48,Less than 60 mins
1477794,127149,Sarabeth's East,American,9.41,Weekend,Not given,25,16,Not rated,41,Less than 60 mins
1477048,200074,Osteria Morini,Italian,9.07,Weekend,Not given,33,16,Not rated,49,Less than 60 mins
1477615,136876,Rubirosa,Italian,14.07,Weekend,5,35,16,Rated,51,Less than 60 mins
1476566,103884,S'MAC,American,14.46,Weekend,Not given,34,17,Not rated,51,Less than 60 mins
1477310,38612,Vanessa's Dumplings,Chinese,6.7,Weekend,5,20,17,Rated,37,Less than 60 mins
1477758,334619,Blue Ribbon Sushi Izakaya,Japanese,14.07,Weekday,4,24,26,Rated,50,Less than 60 mins
1477765,92996,Tamarind TriBeCa,Indian,19.45,Weekend,4,29,19,Rated,48,Less than 60 mins
1476753,195723,Cafe Habana,Mexican,13.97,Weekday,3,34,28,Rated,62,More than 60 mins
1476759,268958,Sushi of Gari 46,Japanese,12.22,Weekend,4,24,20,Rated,44,Less than 60 mins
1477333,111356,Bhatti Indian Grill,Indian,29.25,Weekend,5,21,15,Rated,36,Less than 60 mins
1476830,361509,Cafeteria,American,17.03,Weekend,Not given,34,20,Not rated,54,Less than 60 mins
1478227,367591,Taro Sushi,Japanese,16.05,Weekday,5,35,32,Rated,67,More than 60 mins
1476789,103005,Yama Japanese Restaurant,Japanese,17.08,Weekend,5,28,15,Rated,43,Less than 60 mins
1477603,399121,Blue Ribbon Sushi,Japanese,11.3,Weekday,Not given,24,24,Not rated,48,Less than 60 mins
1478246,260680,Delicatessen,American,32.98,Weekend,5,34,16,Rated,50,Less than 60 mins
1476931,124838,Hill Country Fried Chicken,Southern,29.15,Weekend,5,33,25,Rated,58,Less than 60 mins
1477029,295111,The Meatball Shop,Italian,13.0,Weekday,5,23,26,Rated,49,Less than 60 mins
1476849,42052,Pepe Rosso To Go,Italian,13.73,Weekend,Not given,21,28,Not rated,49,Less than 60 mins
1478179,52832,Han Dynasty,Chinese,12.23,Weekend,3,33,27,Rated,60,Less than 60 mins
1477679,120833,Bareburger,American,16.25,Weekend,Not given,29,15,Not rated,44,Less than 60 mins
1477810,94483,Bistango,Italian,24.2,Weekend,Not given,28,21,Not rated,49,Less than 60 mins
1477342,49631,The Meatball Shop,Italian,14.31,Weekend,Not given,23,17,Not rated,40,Less than 60 mins
1478133,114085,Blue Ribbon Sushi Bar & Grill,Japanese,19.4,Weekend,Not given,28,20,Not rated,48,Less than 60 mins
1477756,251607,Shake Shack,American,14.12,Weekday,Not given,31,28,Not rated,59,Less than 60 mins
1477721,72339,Donburi-ya,Japanese,14.7,Weekend,Not given,30,27,Not rated,57,Less than 60 mins
1476952,229946,Balthazar Boulangerie,French,15.52,Weekend,Not given,21,29,Not rated,50,Less than 60 mins
1477587,92726,Hatsuhana,Japanese,8.97,Weekend,4,25,26,Rated,51,Less than 60 mins
1478210,320493,Vanessa's Dumplings,Chinese,29.2,Weekday,Not given,27,30,Not rated,57,Less than 60 mins
1477887,69348,RedFarm Broadway,Chinese,11.64,Weekend,3,26,21,Rated,47,Less than 60 mins
1478366,270149,Samurai Mama,Japanese,11.64,Weekend,5,21,18,Rated,39,Less than 60 mins
1478279,354016,Waverly Diner,American,19.4,Weekend,5,25,23,Rated,48,Less than 60 mins
1476819,104548,Tarallucci e Vino Restaurant,Italian,29.1,Weekday,Not given,28,33,Not rated,61,More than 60 mins
1477394,105754,Momoya,Japanese,14.02,Weekday,4,24,30,Rated,54,Less than 60 mins
1476667,157578,P.J. Clarke's,American,6.11,Weekend,4,27,25,Rated,52,Less than 60 mins
1476975,350373,Blue Ribbon Fried Chicken,American,12.23,Weekend,4,21,26,Rated,47,Less than 60 mins
1477909,47440,Blue Ribbon Fried Chicken,American,12.18,Weekend,Not given,31,23,Not rated,54,Less than 60 mins
